id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
1035885,https://4lapy.ru//catalog/koshki/korm-koshki/pauchi-dlya-sterilizovannyh-koshek-italyanskaya-kurica.html?offer=102796,"Cat Grill Pouch влажный корм для стерилизованных кошек, вкус итальянскаякурица, 85г",113,not_pomo_price,Monge
1035786,https://4lapy.ru//catalog/koshki/korm-koshki/grandin-kusochki-s-yagnenkom-v-souse-bez-zlakov-dlya-sterilizovannyh-koshek.html?offer=102528,"Влажный корм для стерилизованных кошек, кусочки с ягненком в соусе без злаков, 85 гр.",99,not_pomo_price,Grandin
1000890,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Intense_Beauty_pauch_dlya_podderganiya_krasoty_shersti_85_g_1000890.html?offer=41612,"Intense Beauty влажный корм для поддержания красоты шерсти кошек в соусе, 85 г",93,not_pomo_price,Royal Canin
1050749,https://4lapy.ru//catalog/koshki/korm-koshki/classic-korm-dlya-koshek-s-ryboy.html?offer=138258,"Adult Classic Корм сухой для кошек, с рыбой, 1.5 кг",925,not_pomo_price,Ownat
1027896,https://4lapy.ru//catalog/koshki/korm-koshki/monge-cat-korm-dlya-vzroslyh-koshek-1-5-kg.html?offer=81100,"Adult корм для кошек в возрасте от 1 года до 7 лет, с курицей, 1,5 кг",1629,not_pomo_price,Monge
1051861,https://4lapy.ru//catalog/koshki/korm-koshki/konservirovannyy-korm-dlya-kotyat-file-tuntsa-s-yaytsom.html?offer=140679,"Влажный корм (консервы) для котят, мусс тунца с яйцом, 80 гр.",155,not_pomo_price,Grandin
1035886,https://4lapy.ru//catalog/koshki/korm-koshki/pauchi-dlya-sterilizovannyh-koshek-italyanskaya-telyatina.html?offer=102798,"Cat Grill Pouch влажный корм для стерилизованных кошек, вкус итальянская телятина, 85г",113,not_pomo_price,Monge
1016933,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_Sterilised_konservirovannyy_korm_dlya_sterilizovannyh_koshek_s_okeanichesk_1016933.html?offer=44092,"Sterilised влажный корм для взрослых кошек для стерилизованных с океанической рыбой, в желе, 85 г",87,not_pomo_price,Pro Plan ®
1000001,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_indeykakuritsa.html?offer=42922,"Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с индейкой, 1,5 кг",1755,1491.75,Pro Plan ®
1040789,https://4lapy.ru//catalog/koshki/korm-koshki/ultra-korm-dlya-koshek-s-kuricey-i-risom.html?offer=113391,"Ultra Корм для кошек, с курицей и рисом, 1,5 кг",1645,not_pomo_price,Ownat
1004832,https://4lapy.ru//catalog/koshki/korm-koshki/Purina_Veterinary_Diets_EN_dieticheskiy_suhoy_korm_dlya_koshek_pri_patologiyah_GKT.html?offer=42552,"Veterinary Diets EN ST/OX Gastrointestinal сухой корм для котят и взрослых кошек для снижения проявлений кишечных расстройств, 1,5 кг",2827,not_pomo_price,Purina
1002271,https://4lapy.ru//catalog/koshki/korm-koshki/Purina_Veterinary_Diets_NA_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_allergii.html?offer=42544,"Veterinary Diets HA ST/OX Hypoallergenic сухой корм для котят и взрослых кошек для всех пород для снижения пищевой непереносимости ингредиентов и питательных веществ, 1,3 кг",2895,not_pomo_price,Purina
1055468,https://4lapy.ru//catalog/koshki/korm-koshki/vlazhnyy-korm-dlya-vzroslyh-koshek-tunec-v-nezhnom-zhele-85g.html?offer=151194,"Влажный корм для взрослых кошек, тунец в нежном желе, 85 гр.",159,135.15,Grandin
1019743,https://4lapy.ru//catalog/koshki/korm-koshki/Purina_UR_pauch_dlya_koshek_Kuritsa_pak__85g_1019743.html?offer=42516,"Veterinary Diets UR ST/OX Urinary влажный корм для взрослых кошек при болезнях нижних отделов мочевыводящих путей, с курицей, в соусе, 85 г",147,not_pomo_price,Purina
1000718,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Exigent_3530_Savour_Sensation_suhoy_korm_suhoy_dlya_priveredlivyh_koshek.html?offer=45725,"Exigent 35/30 Savour Sensation корм для кошек, привередливых к вкусу продукта, 2 кг",2555,not_pomo_price,Royal Canin
1056879,https://4lapy.ru//catalog/koshki/korm-koshki/korm-suhoy-dlya-sterilizovannyh-koshek-s-kuricey1.html?offer=155686,"Sterilized Grain free Корм сухой для стерилизованных кошек, с курицей, 10 кг",8999,not_pomo_price,Grandin
1009213,https://4lapy.ru//catalog/koshki/korm-koshki/Mealfeel_pauch_dlya_vzroslyh_koshek_s_chuvstvitelnym_pishchevareniem_kusochki_s_domashney_ptitsey_100_1009213.html?offer=41560,"Functional Nutrition Digest Sensitive Влажный корм (пауч) кошек с чувствительным пищеварением, кусочки с птицей в соусе, 100 гр.",89,not_pomo_price,Mealfeel
1043180,https://4lapy.ru//catalog/koshki/korm-koshki/vet-life-natural-diet-cat-struvite-400-gr.html?offer=120007,"Vet Life Struvite диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",3045,not_pomo_price,Farmina
1004588,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Fibre_Response_FR31_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_GKT.html?offer=42589,"Fibre Response FR31 диета для кошек при нарушениях пищеварения, 2 кг",4079,not_pomo_price,Royal Canin
1054705,https://4lapy.ru//catalog/koshki/korm-koshki/korm-suhoy-dlya-koshek-starshe-7-let-s-kuricey-i-indeykoy.html?offer=148702,"Корм сухой для кошек старше 7 лет, с курицей и индейкой, 1,5 кг",1499,not_pomo_price,Mealfeel
1001926,https://4lapy.ru//catalog/koshki/korm-koshki/Purina_Veterinary_Diets_UR_konservirovannyy_korm_dlya_koshek_pri_MKB_bn__195g_1001926.html?offer=45462,"Veterinary Diets UR St/Ox Urinary влажный корм для взрослых кошек при болезни нижних отделов мочевыводящих путей, паштет, 195 г",299,not_pomo_price,Purina
1002394,https://4lapy.ru//catalog/koshki/korm-koshki/Purina_Veterinary_Diets_UR_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42548,"Veterinary Diets UR ST/OX Urinary сухой корм для взрослых кошек для взрослых кошек при болезни нижних отделов мочевыводящих путей, с курицей, 1,5 кг",2569,not_pomo_price,Purina
1037132,https://4lapy.ru//catalog/koshki/korm-koshki/Hills_Standard_suhoy_korm_dlya_koshek_kuritsa.html?offer=104587,"Сухой корм Hills Science Plan для взрослых кошек для поддержания жизненной энергии и иммунитета, с курицей, 1,5 кг",1945,1361.5,Hill's
1005145,https://4lapy.ru//catalog/koshki/korm-koshki/Purina_Veterinary_Diets_EN_konservirovannyy_korm_dlya_koshek_pri_patologii_GKT_bn__195g_1005145.html?offer=43599,"Veterinary Diets EN St/Ox Gastrointestinal влажный корм для взрослых кошек при расстройствах пищеварения, паштет, 195 г",299,not_pomo_price,Purina
